"callret-0"	"c1l"	"c2l"	"c3l"	"c4l"
"What function component Order Entry?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Hospital Function"
"What function component Order Entry?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Hospital Function"
"What function component Order Entry?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical and Nursing Care Planning"
"What function component Order Entry?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical and Nursing Care Planning"
"What function component Order Entry?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Admission"
"What function component Order Entry?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Admission"
"What function component Order Entry?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Care Planning"
"What function component Order Entry?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Care Planning"
"What function component Order Entry?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Patient Admission"
"What function component Order Entry?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Patient Admission"
"What function component Patient Admission?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical and Nursing Care Planning"
"What function component Patient Admission?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical and Nursing Care Planning"
"What function component Patient Admission?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical Discharge and Medical Report Writing"
"What function component Patient Admission?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical Discharge and Medical Report Writing"
"What function component Patient Admission?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Admission"
"What function component Patient Admission?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Admission"
"What function component Patient Admission?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Care Planning"
"What function component Patient Admission?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Care Planning"
"What function component Patient Admission?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Opening a Patient Record"
"What function component Patient Admission?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Opening a Patient Record"
"What function component Patient Discharge and Transfer to Other Institutions?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical and Nursing Care Planning"
"What function component Patient Discharge and Transfer to Other Institutions?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical and Nursing Care Planning"
"What function component Patient Discharge and Transfer to Other Institutions?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Monitoring of Vital Signs"
"What function component Patient Discharge and Transfer to Other Institutions?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Monitoring of Vital Signs"
"What function component Patient Discharge and Transfer to Other Institutions?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Admission"
"What function component Patient Discharge and Transfer to Other Institutions?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Admission"
"What function component Patient Discharge and Transfer to Other Institutions?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Opening a Patient Record"
"What function component Patient Discharge and Transfer to Other Institutions?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Opening a Patient Record"
"What function component Patient Discharge and Transfer to Other Institutions?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Order Entry"
"What function component Patient Discharge and Transfer to Other Institutions?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Order Entry"
"What communicates with Computerized Physician Order Entry System?"	"Laboratory Information System"	"Medical Documentation System"	"Outpatient Management System"	"Patient Data Management System"
"What communicates with Data Warehouse System?"	"Medical Documentation System"	"Nursing Management and Documentation System"	"Operation Management System"	"Outpatient Management System"
"What is based on Evaluation Method?"	"IT Evaluation Study"	"Information Management Entity Type"	"Information System Effectiveness"	"Information System Safety"
"What supports Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Medical Documentation System"	"Nursing Management and Documentation System"	"Operation Management System"	"Picture Archiving and Communication System"
"What supports Decision Making Planning and Organization of Patient Treatment?"	"Medical Documentation System"	"Nursing Management and Documentation System"	"Operation Management System"	"Picture Archiving and Communication System"
"What supports Hospital Function?"	"Application Component"	"Heterogeneity of the HIS Architecture"	"Homogeneity of the HIS Architecture"	"Information System"
"What supports Hospital Function?"	"Application Component"	"Heterogeneity of the HIS Architecture"	"Homogeneity of the HIS Architecture"	"Physical Data Processing System"
"What entity type component Nursing Problem?"	"Nursing Care Plan"	"Nursing Goal"	"Nursing Procedure"	"Patient Care Entity Type"
"What entity type component Diagnosis?"	"Medical Report"	"Microbiology Report"	"Pathology Report"	"Patient Care Entity Type"
"What entity type component Therapeutic Procedure?"	"Medical Report"	"Microbiology Report"	"Pathology Report"	"Patient State"
"What entity type component Pharmacy?"	"Health Care Network"	"Health Insurance Company"	"Home Care Institution"	"Loosely Coupled Network"
"What entity type component Therapeutic Procedure?"	"Medical Report"	"Microbiology Report"	"Pathology Report"	"Patient Care Entity Type"
"What entity type component Sample?"	"Order"	"Order Form"	"Patient Care Entity Type"	"Patient History"
"What entity type component Nursing Procedure?"	"Nursing Care Plan"	"Nursing Goal"	"Nursing Problem"	"Patient Care Entity Type"
